INFO:__main__:Starting fhv trip data producer
INFO:__main__:Starting green trip data producer
ERROR:__main__:fhv_producer encountered an error: True
ERROR:__main__:green_producer encountered an error: True
INFO:__main__:Produced {'pickup_location_id': 42, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T01:01:56', 'dropoff_datetime': '2019-01-01T01:21:03', 'trip_distance': 5.75, 'tip_amount': 0.0, 'fare_amount': 19.5} to topic green-trips partition 0 offset 80
INFO:__main__:Produced {'pickup_location_id': 42, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:00:15', 'dropoff_datetime': '2019-01-01T00:11:28', 'trip_distance': 5.17, 'tip_amount': 0.0, 'fare_amount': 16.0} to topic green-trips partition 0 offset 81
INFO:__main__:Produced {'pickup_location_id': 236, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:40:18', 'dropoff_datetime': '2019-01-01T01:03:58', 'trip_distance': 4.36, 'tip_amount': 0.0, 'fare_amount': 18.0} to topic green-trips partition 0 offset 82
INFO:__main__:Produced {'pickup_location_id': 37, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:15:19', 'dropoff_datetime': '2019-01-01T00:42:21', 'trip_distance': 7.57, 'tip_amount': 0.0, 'fare_amount': 25.0} to topic green-trips partition 0 offset 83
INFO:__main__:Produced {'pickup_location_id': 25, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:56:06', 'dropoff_datetime': '2019-01-01T01:29:56', 'trip_distance': 9.17, 'tip_amount': 3.88, 'fare_amount': 30.5} to topic green-trips partition 0 offset 84
INFO:__main__:Produced {'pickup_location_id': 41, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:40:34', 'dropoff_datetime': '2019-01-01T00:51:16', 'trip_distance': 3.4, 'tip_amount': 2.55, 'fare_amount': 11.5} to topic green-trips partition 0 offset 85
INFO:__main__:Produced {'pickup_location_id': 75, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:18:45', 'dropoff_datetime': '2019-01-01T00:29:12', 'trip_distance': 2.74, 'tip_amount': 0.0, 'fare_amount': 10.5} to topic green-trips partition 0 offset 86
INFO:__main__:Produced {'pickup_location_id': 55, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:07:33', 'dropoff_datetime': '2019-01-01T00:22:44', 'trip_distance': 4.49, 'tip_amount': 0.0, 'fare_amount': 15.5} to topic green-trips partition 0 offset 87
INFO:__main__:Produced {'pickup_location_id': 71, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:40:36', 'dropoff_datetime': '2019-01-01T01:07:56', 'trip_distance': 10.38, 'tip_amount': 0.0, 'fare_amount': 31.5} to topic green-trips partition 0 offset 88
INFO:__main__:Produced {'pickup_location_id': 134, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:06:31', 'dropoff_datetime': '2019-01-01T00:14:44', 'trip_distance': 2.31, 'tip_amount': 0.0, 'fare_amount': 9.0} to topic green-trips partition 0 offset 89
INFO:__main__:Produced {'pickup_location_id': 244, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:10:50', 'dropoff_datetime': '2019-01-01T00:11:23', 'trip_distance': 0.23, 'tip_amount': 0.86, 'fare_amount': 3.0} to topic green-trips partition 0 offset 90
